date,store_id,item_id,units_sold,predicted,residual,pct_residual,day_of_week,anomaly_score,anomaly_score_raw,is_anomaly
2024-10-27,5,5,3.8,152.45609,-148.65608999999998,-0.9750747903871861,6,-1,-0.12548257260773676,1
2024-12-02,1,8,206.6,70.4067,136.1933,1.93437982464737,0,-1,-0.12498342625496317,1
2024-09-19,8,2,133.5,9.191075,124.308925,13.524960355562326,3,-1,-0.1202444581090294,1
2024-11-18,2,1,156.0,50.04334,105.95666,2.1172979261576064,0,-1,-0.12016414561834332,1
2024-12-31,4,6,619.6,279.9241,339.6759,1.2134571478482918,1,-1,-0.11891107292113368,1
2024-09-15,8,2,13.6,128.72081,-115.12081,-0.8943449780963934,6,-1,-0.11889119038071894,1
2024-11-25,7,6,301.2,169.04839,132.15160999999998,0.7817383531425527,0,-1,-0.11764009679054832,1
2024-11-25,1,8,5.5,140.38965,-134.88965,-0.9608233228019302,0,-1,-0.11373508506643804,1
2024-08-07,8,10,91.7,1.7762288,89.9237712,50.62623193588574,2,-1,-0.11249579914151475,1
2024-12-24,4,6,541.1,311.77652,229.32348000000002,0.7355380065182587,1,-1,-0.11237723767023544,1
2024-12-03,4,2,91.4,9.102734,82.29726600000001,9.040939348551765,1,-1,-0.11164178392958723,1
2024-08-04,8,10,2.1,98.05192,-95.95192,-0.9785827753296418,6,-1,-0.11135744150931459,1
2024-08-18,1,1,13.4,117.47653,-104.07652999999999,-0.8859346628641482,6,-1,-0.1103221508244484,1
2024-10-30,4,6,454.8,231.01543,223.78457,0.9686996665114533,2,-1,-0.11012513691132031,1
2024-10-28,4,13,362.9,220.17691,142.72308999999998,0.6482200608592427,0,-1,-0.10865493245148594,1
2024-09-20,4,6,391.4,224.18593,167.21406999999996,0.7458722766410896,4,-1,-0.10790111356915888,1
2024-10-19,1,12,29.5,275.4972,-245.99720000000002,-0.8929208717910745,5,-1,-0.10729440542199753,1
2024-11-30,1,8,11.6,165.78577,-154.18577000000002,-0.9300301829282454,5,-1,-0.105228233073004,1
2024-11-09,8,9,9.0,172.64322,-163.64322,-0.9478693689795638,5,-1,-0.105228233073004,1
